1 1003
369 15 1
371 16 1
373 17 1
375 1 1
377 2 1
379 3 1
381 4 1
383 5 1
385 6 1
387 7 1
389 8 1
391 9 1
393 10 1
395 11 1
397 12 1
399 13 1
401 14 1
403 15 1
405 16 1
407 17 1
409 1 1
411 2 1
413 3 1
415 4 1
417 5 1
419 6 1
421 7 1
423 8 1
425 9 1
427 10 1
429 11 1
431 12 1
433 13 1
435 14 1
437 15 1
439 16 1
441 17 1
443 1 1
445 2 1
447 3 1
449 4 1
451 5 1
453 6 1
455 7 1
457 8 1
459 9 1
461 10 1
463 11 1
465 12 1
467 13 1
469 14 1
471 15 1
473 16 1
475 17 1
477 1 1
479 2 1
481 3 1
483 4 1
485 5 1
487 6 1
489 7 1
491 8 1
493 9 1
495 10 1
497 11 1
499 12 1
501 13 1
503 14 1
505 15 1
507 16 1
509 17 1
511 1 1
513 2 1
515 3 1
517 4 1
519 5 1
521 6 1
523 7 1
525 8 1
527 9 1
529 10 1
531 11 1
533 12 1
535 13 1
537 14 1
539 15 1
541 16 1
543 17 1
545 1 1
547 2 1
549 3 1
551 4 1
553 5 1
555 6 1
557 7 1
559 8 1
561 9 1
563 10 1
565 11 1
567 12 1
569 13 1
571 14 1
573 15 1
575 16 1
577 17 1
579 1 1
581 2 1
583 3 1
585 4 1
587 5 1
589 6 1
591 7 1
593 8 1
595 9 1
597 10 1
599 11 1
601 12 1
603 13 1
605 14 1
607 15 1
609 16 1
611 17 1
613 1 1
615 2 1
617 3 1
619 4 1
621 5 1
623 6 1
625 7 1
627 8 1
629 9 1
631 10 1
633 11 1
635 12 1
637 13 1
639 14 1
641 15 1
643 16 1
645 17 1
647 1 1
649 2 1
651 3 1
653 4 1
655 5 1
657 6 1
659 7 1
661 8 1
663 9 1
665 10 1
667 11 1
669 12 1
671 13 1
673 14 1
675 15 1
677 16 1
679 17 1
681 1 1
683 2 1
685 3 1
687 4 1
689 5 1
691 6 1
693 7 1
695 8 1
697 9 1
699 10 1
701 11 1
703 12 1
705 13 1
707 14 1
709 15 1
711 16 1
713 17 1
715 1 1
717 2 1
719 3 1
721 4 1
723 5 1
725 6 1
727 7 1
729 8 1
731 9 1
733 10 1
735 11 1
737 12 1
739 13 1
741 14 1
743 15 1
745 16 1
747 17 1
749 1 1
751 2 1
753 3 1
755 4 1
757 5 1
759 6 1
761 7 1
763 8 1
765 9 1
767 10 1
769 11 1
771 12 1
773 13 1
775 14 1
777 15 1
779 16 1
781 17 1
783 1 1
785 2 1
787 3 1
789 4 1
791 5 1
793 6 1
795 7 1
797 8 1
799 9 1
801 10 1
803 11 1
805 12 1
807 13 1
809 14 1
811 15 1
813 16 1
815 17 1
817 1 1
819 2 1
821 3 1
823 4 1
825 5 1
827 6 1
829 7 1
831 8 1
833 9 1
835 10 1
837 11 1
839 12 1
841 13 1
843 14 1
845 15 1
847 16 1
849 17 1
851 1 1
853 2 1
855 3 1
857 4 1
859 5 1
861 6 1
863 7 1
865 8 1
867 9 1
869 10 1
871 11 1
873 12 1
875 13 1
877 14 1
879 15 1
881 16 1
883 17 1
885 1 1
887 2 1
889 3 1
891 4 1
893 5 1
895 6 1
897 7 1
899 8 1
901 9 1
903 10 1
905 11 1
907 12 1
909 13 1
911 14 1
913 15 1
915 16 1
917 17 1
919 1 1
921 2 1
923 3 1
925 4 1
927 5 1
929 6 1
931 7 1
933 8 1
935 9 1
937 10 1
939 11 1
941 12 1
943 13 1
945 14 1
947 15 1
949 16 1
951 17 1
953 1 1
955 2 1
957 3 1
959 4 1
961 5 1
963 6 1
965 7 1
967 8 1
969 9 1
971 10 1
973 11 1
975 12 1
977 13 1
979 14 1
981 15 1
983 16 1
985 17 1
987 1 1
989 2 1
991 3 1
993 4 1
995 5 1
997 6 1
999 7 1
1001 8 1
1003 9 1
1005 10 1
1007 11 1
1009 12 1
1011 13 1
1013 14 1
1015 15 1
1017 16 1
1019 17 1
1021 1 1
1023 2 1
1025 3 1
1027 4 1
1029 5 1
1031 6 1
1033 7 1
1035 8 1
1037 9 1
1039 10 1
1041 11 1
1043 12 1
1045 13 1
1047 14 1
1049 15 1
1051 16 1
1053 17 1
1055 1 1
1057 2 1
1059 3 1
1061 4 1
1063 5 1
1065 6 1
1067 7 1
1069 8 1
1071 9 1
1073 10 1
1075 11 1
1077 12 1
1079 13 1
1081 14 1
1083 15 1
1085 16 1
1087 17 1
1089 1 1
1091 2 1
1093 3 1
1095 4 1
1097 5 1
1099 6 1
1101 7 1
1103 8 1
1105 9 1
1107 10 1
1109 11 1
1111 12 1
1113 13 1
1115 14 1
1117 15 1
1119 16 1
1121 17 1
1123 1 1
1125 2 1
1127 3 1
1129 4 1
1131 5 1
1133 6 1
1135 7 1
1137 8 1
1139 9 1
1141 10 1
1143 11 1
1145 12 1
1147 13 1
1149 14 1
1151 15 1
1153 16 1
1155 17 1
1157 1 1
1159 2 1
1161 3 1
1163 4 1
1165 5 1
1167 6 1
1169 7 1
1171 8 1
1173 9 1
1175 10 1
1177 11 1
1179 12 1
1181 13 1
1183 14 1
1185 15 1
1187 16 1
1189 17 1
1191 1 1
1193 2 1
1195 3 1
1197 4 1
1199 5 1
1201 6 1
1203 7 1
1205 8 1
1207 9 1
1209 10 1
1211 11 1
1213 12 1
1215 13 1
1217 14 1
1219 15 1
1221 16 1
1223 17 1
1225 1 1
1227 2 1
1229 3 1
1231 4 1
1233 5 1
1235 6 1
1237 7 1
1239 8 1
1241 9 1
1243 10 1
1245 11 1
1247 12 1
1249 13 1
1251 14 1
1253 15 1
1255 16 1
1257 17 1
1259 1 1
1261 2 1
1263 3 1
1265 4 1
1267 5 1
1269 6 1
1271 7 1
1273 8 1
1275 9 1
1277 10 1
1279 11 1
1281 12 1
1283 13 1
1285 14 1
1287 15 1
1289 16 1
1291 17 1
1293 1 1
1295 2 1
1297 3 1
1299 4 1
1301 5 1
1303 6 1
1305 7 1
1307 8 1
1309 9 1
1311 10 1
1313 11 1
1315 12 1
1317 13 1
1319 14 1
1321 15 1
1323 16 1
1325 17 1
1327 1 1
1329 2 1
1331 3 1
1333 4 1
1335 5 1
1337 6 1
1339 7 1
1341 8 1
1343 9 1
1345 10 1
1347 11 1
1349 12 1
1351 13 1
1353 14 1
1355 15 1
1357 16 1
1359 17 1
1361 1 1
1363 2 1
1365 3 1
1367 4 1
1369 5 1
1371 6 1
1373 7 1
1375 8 1
1377 9 1
1379 10 1
1381 11 1
1383 12 1
1385 13 1
1387 14 1
1389 15 1
1391 16 1
1393 17 1
1395 1 1
1397 2 1
1399 3 1
1401 4 1
1403 5 1
1405 6 1
1407 7 1
1409 8 1
1411 9 1
1413 10 1
1415 11 1
1417 12 1
1419 13 1
1421 14 1
1423 15 1
1425 16 1
1427 17 1
1429 1 1
1431 2 1
1433 3 1
1435 4 1
1437 5 1
1439 6 1
1441 7 1
1443 8 1
1445 9 1
1447 10 1
1449 11 1
1451 12 1
1453 13 1
1455 14 1
1457 15 1
1459 16 1
1461 17 1
1463 1 1
1465 2 1
1467 3 1
1469 4 1
1471 5 1
1473 6 1
1475 7 1
1477 8 1
1479 9 1
1481 10 1
1483 11 1
1485 12 1
1487 13 1
1489 14 1
1491 15 1
1493 16 1
1495 17 1
1497 1 1
1499 2 1
1501 3 1
1503 4 1
1505 5 1
1507 6 1
1509 7 1
1511 8 1
1513 9 1
1515 10 1
1517 11 1
1519 12 1
1521 13 1
1523 14 1
1525 15 1
1527 16 1
1529 17 1
1531 1 1
1533 2 1
1535 3 1
1537 4 1
1539 5 1
1541 6 1
1543 7 1
1545 8 1
1547 9 1
1549 10 1
1551 11 1
1553 12 1
1555 13 1
1557 14 1
1559 15 1
1561 16 1
1563 17 1
1565 1 1
1567 2 1
1569 3 1
1571 4 1
1573 5 1
1575 6 1
1577 7 1
1579 8 1
1581 9 1
1583 10 1
1585 11 1
1587 12 1
1589 13 1
1591 14 1
1593 15 1
1595 16 1
1597 17 1
1599 1 1
1601 2 1
1603 3 1
1605 4 1
1607 5 1
1609 6 1
1611 7 1
1613 8 1
1615 9 1
1617 10 1
1619 11 1
1621 12 1
1623 13 1
1625 14 1
1627 15 1
1629 16 1
1631 17 1
1633 1 1
1635 2 1
1637 3 1
1639 4 1
1641 5 1
1643 6 1
1645 7 1
1647 8 1
1649 9 1
1651 10 1
1653 11 1
1655 12 1
1657 13 1
1659 14 1
1661 15 1
1663 16 1
1665 17 1
1667 1 1
1669 2 1
1671 3 1
1673 4 1
1675 5 1
1677 6 1
1679 7 1
1681 8 1
1683 9 1
1685 10 1
1687 11 1
1689 12 1
1691 13 1
1693 14 1
1695 15 1
1697 16 1
1699 17 1
1701 1 1
1703 2 1
1705 3 1
1707 4 1
1709 5 1
1711 6 1
1713 7 1
1715 8 1
1717 9 1
1719 10 1
1721 11 1
1723 12 1
1725 13 1
1727 14 1
1729 15 1
1731 16 1
1733 17 1
1735 1 1
1737 2 1
1739 3 1
1741 4 1
1743 5 1
1745 6 1
1747 7 1
1749 8 1
1751 9 1
1753 10 1
1755 11 1
1757 12 1
1759 13 1
1761 14 1
1763 15 1
1765 16 1
1767 17 1
1769 1 1
1771 2 1
1773 3 1
1775 4 1
1777 5 1
1779 6 1
1781 7 1
1783 8 1
1785 9 1
1787 10 1
1789 11 1
1791 12 1
1793 13 1
1795 14 1
1797 15 1
1799 16 1
1801 17 1
1803 1 1
1805 2 1
1807 3 1
1809 4 1
1811 5 1
1813 6 1
1815 7 1
1817 8 1
1819 9 1
1821 10 1
1823 11 1
1825 12 1
1827 13 1
1829 14 1
1831 15 1
1833 16 1
1835 17 1
1837 1 1
1839 2 1
1841 3 1
1843 4 1
1845 5 1
1847 6 1
1849 7 1
1851 8 1
1853 9 1
1855 10 1
1857 11 1
1859 12 1
1861 13 1
1863 14 1
1865 15 1
1867 16 1
1869 17 1
1871 1 1
1873 2 1
1875 3 1
1877 4 1
1879 5 1
1881 6 1
1883 7 1
1885 8 1
1887 9 1
1889 10 1
1891 11 1
1893 12 1
1895 13 1
1897 14 1
1899 15 1
1901 16 1
1903 17 1
1905 1 1
1907 2 1
1909 3 1
1911 4 1
1913 5 1
1915 6 1
1917 7 1
1919 8 1
1921 9 1
1923 10 1
1925 11 1
1927 12 1
1929 13 1
1931 14 1
1933 15 1
1935 16 1
1937 17 1
1939 1 1
1941 2 1
1943 3 1
1945 4 1
1947 5 1
1949 6 1
1951 7 1
1953 8 1
1955 9 1
1957 10 1
1959 11 1
1961 12 1
1963 13 1
1965 14 1
1967 15 1
1969 16 1
1971 17 1
1973 1 1
1975 2 1
1977 3 1
1979 4 1
1981 5 1
1983 6 1
1985 7 1
1987 8 1
1989 9 1
1991 10 1
1993 11 1
1995 12 1
1997 13 1
1999 14 1
2001 15 1
2003 16 1
2005 17 1
