program,problem,arm,language,source_sha256,input_sha256,execution_id,Omega_CC,Omega_hat_NativeTrace,Omega_hat_StateSize,Omega_hat_StateLoad
atcoder/arc184_c/inside-loop-state,atcoder/arc184_c,inside-loop-state,C++20 benchmark source,5237d1a0049687ff1d0cdaaa9cd7238d2a3783f495923062e563e1fc209d9575,47deeb9d8f284da3abced61a26635f02a6c35af527dd0b28eca6c2ef614976fe,sha256:50c7a479e2b57deb199674cb8065a3ad784078d1303adb9e0c3e4bd6940f2ab0,23,10464,1348,10901986
atcoder/arc184_d/inside-loop-state,atcoder/arc184_d,inside-loop-state,C++20 benchmark source,55a3c3d1c563a628a19bb25fec299870ecd9ca705e14068ac0c476ced911a403,ce703e64e3eb3f83d0eb3fb1638d23503bce9eb23447c1573dbb36a71759c4c5,sha256:595ebdcf2672f7d5dcfce808cfef66c88aef35c0839601e954e2cc25c808ba3c,31,100569,327,34799797
atcoder/arc185_c/inside-loop-state,atcoder/arc185_c,inside-loop-state,C++20 benchmark source,8d27cc5b56d3b0696124843cdb3609f8ce066f28a0b71fa35b6e9d05b8252be8,0f465c3e4648ee9c0845d3cb59abab59aa8b6adf76477bcdd4b42ccfaf0b3422,sha256:34a3d95e6751d1ecd0139bea4f7fcb95ebd69bcbf4a7cf24b0b795da5076d477,43,77235,15272,1055521456
atcoder/arc185_d/inside-loop-state,atcoder/arc185_d,inside-loop-state,C++20 benchmark source,b83314753ee1bc2b210d6562ef434af996e3031618db6a000212380d661bcd66,ba141ab2786306576876b9d6fa7abc86bfe45e568b3b40b698c693e61591080c,sha256:4e9ffabb6a15abde03c66b3e0174c6fa4432989979c10dd4ed1f5787fa1f057e,21,2517,9,6655
atcoder/arc186_a/inside-loop-state,atcoder/arc186_a,inside-loop-state,C++20 benchmark source,ad536b26120cb43767ab9d8be9c89f57695addee91d336a7561b42fff26929f3,bee2b7794c6f42ae7ac4c37ff948257a66d9d32cdbe0c73fc425863fb75c9140,sha256:3d45f02265ff01ce4d32645350d36dcb490a75849cddf9e66763ea9b1f982fc5,23,12000,1049643,1535623488
atcoder/arc186_c/inside-loop-state,atcoder/arc186_c,inside-loop-state,C++20 benchmark source,7f1b8d4fb797964c42ffb3882d28a1088325831efe1f7360d9439170a5d47b1f,37574d8c4ef276134bce3e29fc028a145f392026cdece980a3c897e1ee0c8d6a,sha256:e34ad3e0c2261db4cd919121862c4ae5d6f37bb1af4f4ca4a45a3ec6a8170964,31,12054,1212137,1285467654
atcoder/arc186_e/inside-loop-state,atcoder/arc186_e,inside-loop-state,C++20 benchmark source,fc1d9c330e87b1a6d9d7d6c54ac387e686024b4341f5717cae32ec16eb3d7638,80adcd95c62cd4f69f81f73effa812a49ad8ff06ae5f42431ed03544ee54abbe,sha256:770ebf0db73054fc79e2a0bbf8b6a7fadc9402d044e3b180a701a121b90eebbe,37,12525561,6328485,33759077534
atcoder/arc187_b/inside-loop-state,atcoder/arc187_b,inside-loop-state,C++20 benchmark source,1475bd2c9719591a75a9578acba591fc52fc6af5e4c9e57f8f780bbeab4878c0,d9f30303d55635d006d3a4440e216f1f0e0c6275c72ce1a54ae851e84afa81e5,sha256:b5e46734eae5675cf6d80bc3931d3ffe7ca4136cc5f1aa7d9605e905a81ab074,30,32485,68,991256
atcoder/arc188_a/inside-loop-state,atcoder/arc188_a,inside-loop-state,C++20 benchmark source,a44d0f94845b077303bf1647107f2eec2d5bda1eb0571f93f15b97bbb6bea715,74a9086f99ebd852bf65f6a73c8db9a332cae9ffef2da4ca94f04bee6dde57d8,sha256:106705852f95175712b920cd048abd7d72c4ec124ef5d132cfab5a89b7d45b68,29,572963,36624,15373942199
atcoder/arc188_c/inside-loop-state,atcoder/arc188_c,inside-loop-state,C++20 benchmark source,d972d99bb3d4cbba64623dbb82b61d06435290059aa96c493dedabe0774a142a,590e8d437874b1e52e04709d2f195b42a441baffb98583d8300bfe0d7698f255,sha256:0fd94ea12f7b2bf7d00bdf2031ba81388c99b743ae20eea2ba42d7366fa2fb1c,30,18584,804061,26610265193
atcoder/arc189_c/inside-loop-state,atcoder/arc189_c,inside-loop-state,C++20 benchmark source,3f8650d3f2ba40d1cdf7e8b0ba50cf42eae50e7ce5f1d984fb43caa3f08c9558,4bfd2f77c1fe75da6fc3a531c62c8cc010fa5732019b901d3419abb3029b0f75,sha256:3f2d08b4ae1fba386f45fe8fb095284d2ed1a770320a422f3a050e237ee11376,38,49641,1802610,49761182766
atcoder/arc189_d/inside-loop-state,atcoder/arc189_d,inside-loop-state,C++20 benchmark source,2064552f1b6dca616f2370d79683146274c7dbcec735e0c4577f2eb5ad78fd02,4d83268ebea980c1230f964c05205ce93e5e29092ffb54a6a12f8204342e89cb,sha256:e46e531478990a5a7c000191b433834dc5bc50c4941ee0554f6723d20db32cda,109,194413,274313,73048521438
atcoder/arc190_a/inside-loop-state,atcoder/arc190_a,inside-loop-state,C++20 benchmark source,f4cdf9e00fff5fd6327f6ad642c11ac16f7350d994a5500a7160b9a69bde2941,cf02cab2bd2238d30028b03ac8a88c3e63239caa090d531e0f5c216bcd5207ec,sha256:2a7dfb701f2a9034d084937f448a7e25972f471678f4b95b60eb9f409f7896e5,65,60017,4028,192759299
atcoder/arc190_c/inside-loop-state,atcoder/arc190_c,inside-loop-state,C++20 benchmark source,f96e4dac7cff32ca0cfbbdd09aada704571072ac769eee074927ba26239a6319,f10f8fd552c89280eb2b2535d43dc718a8f3589402b29715b20d979302613191,sha256:ede64a1df159a0f98db262967f83b7a64663ff25ca4b4b8658ed3f6509f8f83e,54,23157,3829,21251412
atcoder/arc190_d/inside-loop-state,atcoder/arc190_d,inside-loop-state,C++20 benchmark source,141a1f46100654da6ca3f0b710625cff8f1aa3cdbe3ce00ba0cb75f3d1e2c90d,5583540a7b265e17f43541eb93ac6893f700103a15c1a4b5fd0cc14a9a70d8db,sha256:a09ac17e10aa9235379506ce8f5525cd44aa6bba753b0d1e05f35d20c5a22a4c,51,588851,73281,1027183603
atcoder/arc191_d/inside-loop-state,atcoder/arc191_d,inside-loop-state,C++20 benchmark source,c38e4dc2e59da422e6b71c68727c26c84d7babb3f29c1dce18173fbf7ee77bcb,e878611a723cf240008a4206b459bc4f9fb8b478070095f6a520bff333c89b0c,sha256:abf3eb7d71047d068be47cbe7c93adf460752bd28da8394f6d604836d0f5a0b3,41,26080,13051,278044787
atcoder/arc192_b/inside-loop-state,atcoder/arc192_b,inside-loop-state,C++20 benchmark source,1facf5eefba28988df5ad08e301e484cec595f8e4ecc096f91aa67ce85b7c033,ad1eb247b4088a9ec032d70983dabf98b41410a043d6afe9b1a022526e6fb110,sha256:fe75b6535cdf08ff51be161e354525f9b24228fcf9afc7b1368173a2c0a8d320,20,6522,1013,9152007
atcoder/arc192_e/inside-loop-state,atcoder/arc192_e,inside-loop-state,C++20 benchmark source,28383751660d2b764e8087012616de16a1a0b1f32843fd0ffa5e89aba224cbee,e054345c42405a9394bc1a0ac9a4b6d47c3523215114ddb83eb0226666c9811c,sha256:78869729497eb73165e8c0b5a1a9ee10f2bdad5cb1fd6489a391c6c420a9e431,29,14460664,18,667318
atcoder/arc193_b/inside-loop-state,atcoder/arc193_b,inside-loop-state,C++20 benchmark source,012673ad54ecf33bf9e6e98f68a72d4b82401286f260f175e43b562fa98b858a,4ee33bcf017f8c8caf06ccba63f27e0f3e9bc66b00582e50b751343621202b0e,sha256:a73c7e5a1a978ed80e92111b273069c83ff659f2ae8ab1c00b15470a60dcf64c,43,10728,18000206,55458625893
atcoder/arc194_c/inside-loop-state,atcoder/arc194_c,inside-loop-state,C++20 benchmark source,f19a0f6e5c4f21d7134e54a0f8a201c450bcb8fcf9afdcd7ef3dd891e9f44a12,a43317563e841a002ed8891132603aa4c3f955ba74f3f4de9995632670a980f5,sha256:9dd34b829f3faf91f09c732721fdb518189aa3dc322c9e589c54c47d58486179,29,15540,3014,75599098
atcoder/arc195_d/inside-loop-state,atcoder/arc195_d,inside-loop-state,C++20 benchmark source,6d646a6f7320196ec9f1e351f290d7bae9c2255ba9510345510b68604213379b,f9a13d09e0c3c9fe2b0ba21988a000d05d0be1b223ec48c751afcbd236e6ec3b,sha256:af7ed2b6333e5be3f73bba0c3ab63537457ccecd3561ff88b2829765b36f6da2,21,8528,800044,825642879
atcoder/arc195_e/inside-loop-state,atcoder/arc195_e,inside-loop-state,C++20 benchmark source,b3137f4760a5d54f7e26506ee5c58439ce2b447d788575c1be662092f9e375f7,a14cb6541cb0c5656b0c183c0a9364f6cb18562b91f80ba5070d1c3294e2c636,sha256:74274203de29e12557d4951b1f5ff592696fad50ad002062a0f2e8a475be3706,24,124767,606077,2458243209
atcoder/arc196_a/inside-loop-state,atcoder/arc196_a,inside-loop-state,C++20 benchmark source,17d2ced74f5ccbbfd9d63af854316700dad0de71a5749be7828c6c4635e6fe78,743f528a2d1dbd9c7268cb172967941c74bf66663b1dc03e2287ed8faa2b6b18,sha256:512198351168ab8be2b2a2614596d96d92761cf723725648b68e045bac36579d,27,18556,600027,9650767968
atcoder/arc196_c/inside-loop-state,atcoder/arc196_c,inside-loop-state,C++20 benchmark source,f1beb76ba0f5d1706c07b7c1b41d72c3e8c9ffa07563440c9d3e648eab2394bd,fb06b43e981c1188f2f5b39805669421c1468d108594a783b2e7e42dee15ad8f,sha256:6845b062a78ab8122d0dee092b8ce4d62154a5ebc9dc36a444d29942c891ff36,50,19446,2800156,2921760249
atcoder/arc196_d/inside-loop-state,atcoder/arc196_d,inside-loop-state,C++20 benchmark source,672eb0feb4559c27ba9cf41483a0a1e22907856d46eff72b742b94fe9fbcaef5,2a4cc42d4a76d5f3dbf2f21515fa0e516a8f02b0651acd48989c1cc9be488e7b,sha256:a2635111cd703c5fd32b5da4e7c5c8820a69cb554d4698907d69d9fbe3a1dce3,34,61170,5430329,68206311619
